Folder,Ship-To-SAP,Link,Ship-To,ATTN: ,From:,CreateDate,CONTRACT NO.: ,PO Number header,PO Number,No2 Header,No2,Material Code Header,Material Code, Note Under Material,USER:,COUNTRY: ,SHIPPER:,FEEDER VESSEL : [c_feeder],MOTHER VESSEL : [c_mother],VESSEL COMPANY :[c_shpline],FORWARDER: [c_fwd],ETD: [c_etd],ETA: [c_eta],PORT of LOADING : ,PORT of DESTINATION: ,DESTINATION: ,BOOKIN NO.,CONSIGNEE,B/L ,FREE TIME :,COURIER ADDRESS,EORI?No,NOTIFY PARTY:,ALSO NOTIFY1,ALSO NOTIFY2,DELIVER TO,REQUIREMENTS:,Note,Note2,Note3,GRADE,QUANTITY(MT),Unit,DESCRIPTION,Under Description,INVOICE NO.,Shipping Mark,Below Signature
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attn.: Mrs. Cassia Rodrigues,,,,,E-Mail: importgy@smagalhaes.com.br,,,Attn.: Fernanda Duarte,,"*Please send all original docs. copies(COLORED PDF) by email to UEG and UEC, and send UEC INV+BL copies separately.",,,,,,,,,PRODUCTION DATE:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,cassia_rodrigues@goodyear.com,,,,,,,,fernanda_duarte@goodyear.com,,,,,,,,,,,LOT.NO:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel.:+55 19 2109-1708,,,,,,,,Tel.:+55 19 2109-1672,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumitomo Rubber,,,SUMITOMO RUBBER BRASIL,T.FUJIOKA / SEVP,S.OKUNI/H.UEDA,formula,4500003671,UEG PO No.,4500003671,SUMITOMO PO NO.:,100752,,,,SUMITOMO RUBBER BRASIL,BRASIL,TSL /UBE EUROPE GMBH,SINAR BAJO V.110S,CMA CGM BUZIOS V.0010W,PACIFIC INTERNATIONAL LINES (PRIVATE ) LIMITED C/O PIL SHIPPING (THAILAND)LTD.,DLT,25/02/2026,13/04/2026,"LAEM CHABANG, THAILAND",,PARANAGUA PORT BRAZIL,,SUMITOMO RUBBER DO BRASIL LTDA,,21 DAYS FREE TIME ,,,SUMITOMO RUBBER DO BRASIL LTDA,,,,*ALL DOCS MUST BE SIGNED IN BLUE INK PEN,?SI???????TSL????SI???????,,,UBEPOL VCR617,20.16,MT,SYNTHETIC RUBBER,,,,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,R.FRANCISCO FERREIRA DA CRUZ 4656,,,,,CNPJ:13.816.470/0001-70 AV.FRANCISCO ,,,,*Handwritten amendments are not acceptable.,*PLASE SEND ALL ORIGINAL DOCS EXCEPT COMMERCIAL CIF I/V(TSL-UBE) TO UEG DIRECLTY,,,,,,,,,SHIPPING MARK,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,83820293 FAZENDA RIO GRANDE-PR-PAR,,,,,FERREIRA DA,,,,* ISSUANCE OF THE ORIGINAL B/L AT DESTINATION(BRAZIL)SHOWING FREIGH COSTS,*PLASE SEND ALL ORIGINAL DOCS EXCEPT COMMERCIAL CIF I/V(TSL-UBE) TO UEG DIRECLTY,,,,,,,,,,
,,,,FAX:66-2-685-3056,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,"BRAZIL CONTACT:EMANUELA BECHLIN,",,,,,"CRUZ,4656 BAIRRO:EUCALIPTUS-FAZENDA ",,,,"( For B/L details, please refer to the  ""sumitomo document checklist"")","*PLASE SEND ALL DOCS PDF COPIES BY E-MAIL TO UBE MATSUMOTO, NO NEED TO SEND THEM BY COURIER. ",,,,,,,,,SUMIOTMO RUBBER BRASIL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMANUELA BECHLIN, JEISELAINE KOZAN",,,,,RIO GRANDE-PR,,,,*COLOR SCAN OF B/L COPY,,,,,,,,,,PRODUCT NAME :UBEPOL VCR617,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEL:+55 41 3060-9250 EXT.1115,,,,,BRASIL CEP:83.820-293 AC:VITOR MELLO,,,,*PACKING LIST,,,,,,,,,,SUMITOMO RUBBER BRASIL PO#100752,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEL:+55 41 3060-9250 EXT.1112,,,,,E-MAIL:vitor.mello@dunloppneus.com.br,,,,"( For details, please refer to the  ""sumitomo document checklist"" )",,,,,,,,,,MATERIAL SPEC:TMS-1233-B-07,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNPJ:13.816.470/0001-70,,,,,TEL:+55 41 3060-9250/EXT:1168,,,,*INVOICE FOR METAL BOX FOR CUSTOMS PURPOSES ONLY.,,,,,,,,,,MATERIAL NO. 120310220,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID:55*57344*107,,,,"( For details, please refer to the  ""sumitomo document checklist"" )",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*CERTIFICATE OF ANALYSIS,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"( For details, please refer to the attached ""sumitomo document checklist"" )",,,,,,,,,,LOT NO.:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*CONTAINER PHOTOS – BEFORE AND AFTER LOADING WITH PHOTO OF SEAL,,,,,,,,,,C/NO. 1-16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*REQ: SEND SHIPPING DOCS EXCEPT COMMERCIAL I/V IN PDF BY EMAIL TO UEG AND UEC,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*REQ: SEND B/L COPY AND COMMERCIAL IV IN PDF BY E-MAILTO UEC,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*NO NEED : CoO BY CHAMBER OF COMMERCE ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*CUSTOME TARIFF NO.40022000,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*""NCM Number :  4002.20.99  Ubepol VCR 617"" AND ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*""NCM Number :  7309.00 GPS Metal Box"" show on all documents. ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please send the all docs draft to UEG before issue the original.,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"*Please mention always on BL ""Wooden Package: not applicable"" ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumitomo Rubber,,,SUMITOMO RUBBER SOUTH AFRICA (PTY) LTD.,T.FUJIOKA / SEVP,S. OKUNI/ H.UEDA,formula,4500003727,UEG PO No.,4500003727,SUMITOMO PO NO.:,7100189111,,,,SUMITOMO RUBBER SOUTH AFRICA (PTY) LTD.,SOUTH AFRICA,TSL /UBE EUROPE GMBH,ONE WREN V.029E,NYK FUJI V.135W,OCEAN NETWORK EXPRESS PTE. LTD. C/O,FOB / DSV,22/02/2026,27/03/2026,"LAEM CHABANG, THAILAND",,DURBAN SOUTH AFRICA,,Sumitomo Rubber South Africa (Pty) Ltd,,-,,,DSV South Africa (Pty) Ltd.,,,,*P/L,*Please submit complete set of documents in advance for final aproval of Sumitomo,,,UBEPOL VCR617,20.16,MT,SYNTHETIC RUBBER,,,,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,DOMESTIC SALES GROUP,,,,,,,,,,,,,,,,,,,,,,,Attention : Zwelakhe Nhleko ,,,,,"1st Floor Podium, John Ross House,",,,,*Telex released B/L,"*PLASE SEND ALL DOCS PDF  COLOURED COPIES BY E-MAIL TO UEC OKUNI, NO NEED TO SEND THEM BY COURIER. ",,,,,,,,,,
,,,,"CO., LTD.",UBE ELASTOMER. LTD.,,,,,,,,,,,,,,,,,,,,,,,Lion Match Office Park,,,,,"22/23 Mncadi Ave, Esplanade",,,,*Quality Certificate,,,,,,,,,,SHIPPING MARK,
,,,,FAX:66-2-685-3056,TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,The Old Factory Building,,,,,4001 Durban,,,,*Invoice 1 original,,,,,,,,,,,
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,892 Umgeni Road,,,,,"P O BOX 1008, Durban, 4000",,,,,,,,,,,,,,SUMIOTMO RUBBER SOUTH AFRICA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Durban 4001,,,,,South Africa 4018,,,,,,,,,,,,,,PRODUCT NAME :UBEPOL VCR617,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwazulu Natal,,,,,,,,,,,,,,,,,,,SUMITOMO RUBBER ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Africa,,,,,Contact: : Suraj Seobaran,,,,,,,,,,,,,,SOUTH AFRICA PO,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel: +27 031 242 1202 ,,,,,Email: Suraj.Seobaran@za.dsv.com,,,,,,,,,,,,,,7100189111,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Email : Zwelakhe.Nhleko@srigroup.co.za ,,,,,Phone: 27(031)  310 6000 (Switchboard),,,,,,,,,,,,,,MATERIAL CODE:L1239,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phone: 27 (031) 310 6004 (Direct line),,,,,,,,,,,,,,LOT NO.:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C/NO. 1-16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumitomo Rubber,,,Sumitomo Rubber ?Hunan?CO.LTD ,T.FUJIOKA/SEVP,S.OKUNI/ H.UEDA,formula,BRHN-26-07,USH PO No.:,BRHN-26-07,,,,,,Sumitomo Rubber ?Hunan?CO.LTD ,CHINA,FULL CONTACT DETAIL OF TSL ,HEUNG-A BANGKOK V.2602N,-,HEUNG A,DIRECT,20/03/2026,27/03/2026,"LAEM CHABANG, THAILAND",SHANGHAI CHINA,,,Sumitomo Rubber ?Hunan?CO.LTD ,,D/M:14DAYS       D/T:14DAYS    * Please apply 14 days Free Time,COURIER ADDRESS:ATTN:Yang Jie-SAN,,THE SAME AS ABOVE AND ,,,,*FULL SET OF SURRENDERED B.L ,,,,  UBEPOL VCR617,20.16,MT,SYNTHETIC RUBBER UBEPOL VCR617,,,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,,,WITH TRADE RESISTRATION NO.,,,,,,,,,,,"No.1318 Liangtang East Road ,?Changlong street,?Changsha county,?",,,UBE (SHANGHAI) LTD.,,UBE (SHANGHAI) LTD.,,,,* No need to issue individual I/P,,,,,,,,,,,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,(no need On Behalf of USH),,,,,,,,,,,"Changsha city,?Hunan province,?China",,,"Room 2403#, Shanghai International Trade Centre, ",,"ROOM 2403#, SHANGHAI INTERNATIONAL TRADE CENTRE,",,,,*ORIGINAL OF CERTIFICATE OF ANALYSIS AND  ORIGINAL TOGETHER WITH THE PRODUCT,,,,,,,,,,SYNTHETIC RUBBER,
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,TEL: 0086-731-86407006-1229 ,,,"Yan'an West Road 2201#, changning district, ",,"YAN'AN WEST ROAD 2201#, CHANGNING DISTRICT, SHANGHAI, CHINA 200336",,,,*Please issue full set Form-E with UEC I/V.,,,,,,,,,,UBEPOL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAX: 0086-731-86407030,,,"SHANGHAI,CHINA ZIP:200336",,CONTACT PERSON : Yang Jie,,,,(please show NET Weight on Form-E),,,,,,,,,,VCR617,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTN: DingJin Wu,,,TELL:021-6273-2288,,TEL : 0021-6273-2288  FAX : 0021-6273-3833,,,,"*Please check (?)""Third Party invoicing"" and add below sentence in Section 7 on Form-E.",,,,,,,,,,Made in Thailand,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,dj_wu@srh.dunlop.com.cn,,,,,USCI:913101157030082793,,,,"THIRD-PARTY OPERATOR : UBE ELASTOMER CO. LTD.  ADD : SEAVANS NORTH BUILDING, 1-2-1, SHIBAURA, MINATO-KU, TOKYO JAPAN",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,USCI:91430100561703582X,,,,,,,,,"*Please add ""PO NO. :BRHN-26-07"" in section 10 on Form-E.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“Please put special label of “Low-smell UBEPOL VCR617” on GPS packaging”,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,“SRI Code will be changed to 1239C”,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*ORIGINAL OF CERT. OF NO WOOD PACKING MATERIAL,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Original of VANNING REPORT(WHEN There are 2 items in one shipment)                           ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Original of  CERT of FREE TIME of 14 day,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*HS CODE:4002.20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please send FORM E to USH direclty by courier.   ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please e-mail ALL docs and  CIF COMMERCIAL IV (between UEC and TSL) by PDF copies to UEC Tokyo. ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please note B/L and Form E are color copies,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyo Tire,,,TOYO TYRE MALAISIA,T.FUJIOKA/SEVP,M.KAWAMORI / H.UEDA,formula,7800009932-4,,,,,,,,TOYO TYRE MALAISIA,Malaysia,TSL WITH FULL ADRESS,INTERASIA TRIUMPH V.W007,-,WANHAI,LEO,same format,same format,"LAEM CHABANG, THAILAND","PENANG, MALAYSIA",,,Toyo Tyre Malaysia Sdn Bhd,SURRENDERED B/L,D/M:14DAYS    D/T:14DAYS * Please apply 14 days Free Time,,,SAME AS CONSIGNEE,,,,*CERTIFICATE OF ANALYSIS,,,,UBEPOL VCR617,20.16,MT,POLYBUTADIENE RUBBER,,,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,"PT23101, Jalan Tembaga Kuning",,,,,,,,,*PACKING LIST,,,,,,,UBEPOL VCR617,,,,
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,Kawasan Perindustrian Kamunting Raya,,,,,,,,,"*Please discribe MAR161A(TTM MATERIAL CODE) on all delivery documents. (BL,PL,COA)",,,,,,,,,,TOYO TYRE MALAYSIA PLANT,
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,"PO Box 1,34600, Kamunting, Perak. Malaysia",,,,,,,,,*No need to issue individual I/P and COO.,,,,,,,,,,MAR161A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contact Person : Ms Lim / Ms Yap,,,,,,,,,*Please send Arrival Notice to below e-mail address ,,,,,,,,,,ORDER NO.:7800009932-4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel : 605-8206669 Fax : 605-8206659,,,,,,,,,wong_py@toyotires.com.my,,,,,,,,,,UBEPOL VCR617(TSL?,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yap_bk@toyotires.com.my,,,,,,,,,,"C/NO, 1-16",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please send all  docs and COMMERCIAL IV (between UEC and TSL) by PDF copies by E-mail to UEC Tokyo.,,,,,,,,,,MADE IN THAILAND ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyo Tire,,,"HENGDASHENG TOYO TIRE(ZHANGJIAGANG) CO., LTD.",T.FUJIOKA/SEVP,S.OKUNI/H.UEDA,formula,BR-TOYO-2503,USH PO No.:,BR-TOYO-2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,THAI SYNTHETIC RUBBERS,UBE Elastomer Co. Ltd.,,,,,,,,,,,,FULL CONTACT DETAIL OF TSL ,JOSCO LUCKY V.2511N,-,"TAICANG CONTAINER LINES CO.,LTD",LEO,same format,same format,"LAEM CHABANG, THAILAND","ZHANGJIAGANG, CHINA",,,"HENGDASHENG TOYO TIRE(ZHANGJIAGANG) CO., LTD.",SURRENDERED B/L,D/M:14DAYS       D/T:14DAYS    * Please apply 14 days Free Time,,,THE SAME AS ABOVE AND ,,,,*FULL SET OF SURRENDERED B.L ,,,,  UBEPOLVCR617,20.16,MT,SYNTHETIC RUBBER,,,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,"CO., LTD.",TEL:81-3-5419-6167,,,,,,,,,,,,WITH TRADE RESISTRATION NO.,,,,,,,,,,,"58,DONGHAI ROAD, YANGTZE INTERNATIONAL CHEMICAL",,,,,UBE (SHANGHAI) LTD.  ATTN:Yang Jie-san,,,,*No need to issue individual I/P. (Customer accepted General I/P.),,,,,,,,,,VCR617?TSL?,
,,,,FAX:66-2-685-3056,FAX:81-3-5419-6250,,,,,,,,,,,,(no need On Behalf of USH),,,,,,,,,,,"INDUSTRIAL PARK, ZHANGJIAGANG, JIANGSU, CHINA",,,,,"Room 2403#, Shanghai International Trade Centre, ",,,,*PLEASE MARK HS CODE 4002.20.90 ON BL ,,,,,,,,,,BR-TOYO-2503,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTACT PERSON: Lili Yu  E-MAIL: yulili@toyotiresz.com ,,,,,"Yan'an West Road 2201#, changning district, ",,,,*3 ORIGINAL OF CERTIFICATE OF ANALYSIS and 1 original together with product,,,,,,,,,,C/NO. 1-16,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEL?0512-3500-7124 FAX?0512-35007203,,,,,"SHANGHAI,CHINA ZIP:200336",,,,*Please issue full set of Form-E with TSL FOB custom I/V.,,,,,,,,,,MADE IN THAILAND ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,USCI:91320592553812607A ,,,,,TELL:021-6273-2288,,,,*Please show NET Weight on Form-E,,,,,,,,,,CONSIGNEE:TOYO TIRE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USCI:913101157030082793,,,,"*NEED ""R161""LABEL ON THE PACKING",,,,,,,,,,R161,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Please issue 3 original of No wood packing material OR IPPC PALLET,,,,,,,,,,USH COURIER ADDRESS:ATTN:Yang Jie-san,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Pls send PDF copies of all original docs.to UEC(Okuni) by e-mail and send all original docs to UBE shanghai directly.,,,,,,,,,,UBE (SHANGHAI) LTD.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"except commercial CIF invoice to UBE (Courier address of UBE shanghai, please refer to the above)",,,,,,,,,,"Room 2403#, Shanghai International Trade Centre, ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yan'an West Road 2201#, changning district, ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SHANGHAI,CHINA ZIP:200336",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TELL:021-6273-2288,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toyo Tire,,,TOYO TIRE NORTH AMERICA,T.FUJIOKA/SEVP,S. OKUNI/ D. KAWAMORI,formula,17169,UAI PO NO,17169,TOYO PO,4501239925,,,,TOYO TIRE NORTH AMERICA,U. S. A.,TSL WITH FULL ADRESS,MSC BRIDGEPORT V.GU606W,ZIM THAILAND V.14E,MSC,DIRECT / FOB,same format,same format,"LAEM CHABANG,THAILAND",SAVANNAH,"WHITE, GA",,TOYO TIRE NORTH AMERICA MANUFACTURING INC.,,,,,"D.J.Powers Company, Inc.",SAME AS CONSIGNEE,UBE America Inc.,TOYO TIRE NORTH AMERICA MANUFACTURING INC.,* Full set of Sea Waybill,*Please e-mail ALL docs and FOB COMMERCIAL IV (between UEC and TSL)  by PDF copies to UEC Tokyo(Okuni) ,,,UBEPOL VCR617,35.28,,POLYBUTADIENE RUBBER ,,,SHIPPING MARK,UBE Elastomer Co. Ltd.
,,,,"THAI SYNTHETIC RUBBERS CO.,LTD.",UBE Elastomer Co. Ltd.,,,,,,,,,,,,ON BEHALF OF UBE AMERICA,,,,,,,,,,,3660 Highway 411 NE,,,,,"5000 Business Center Drive, Suite 1000",,Tel: +1  (248) 516-4911,3660 Highway 411 NE,* 2/2 ORIGINAL CoA,*NO need original courier to UAI and us. ,,,,,,,,,,
,,,,,TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,"White, GA 30184",,,,,"Savannah, GA 31405",,"38777 Six Mile Road, Suite 400, Livonia, MI 48152","White, GA 30184","*Please show ""TOYO ITEM NO.GAR161A""  & ""TOYO 4501202829"" on all doc.",,,,,,,,,,UBEPOL VCR617,
,,,,,FAX:81-3-5419-6250,,,,,,,,,,,,,,,,,,,,,,,ATTN:SUSAN WOOD   woods@toyotires.com,,,,,TEL:912-790-1927,,E-mail: akiko@ube.com,ATTN:  SUSAN WOOD,*Please send ISF data to UEC and UAI by e-mail at once. When you get it ,,,,,,,,,,TOYO PO:4501239925,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEL: 678-492-2165,,,,,ATTN: DANETTE PENTECOST,,E-mail: k.kikuta@ube.com,,UAI people;,,,,,,,,,,   NO. 1-28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOYO.TIRE@DJPOWERS.COM,,,,Akiko Hirayama <akiko@ube.com> & Kaori Kikuta <k.kikuta@ube.com>,,,,,,,,,,   MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   TOYO ITEM NO.GAR161A(VCR617),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDGESTONE,BRIDGESTONE INDIA PRIVATE LIMITED,BS INDIA 4500077118 Pune TALEGAON PO & SI.xls,BRIDGESTONE INDIA PRIVATE LIMITED,MR.FUJIOKA/SEVP,W.MIYANAMI,formula,4500077118,BS INDIA PO No.: ,4500077118,,,,,,BRIDGESTONE INDIA PRIVATE LIMITED,INDIA,TSL WITH FULL CONTACT DETAILS,xx,xx,xx,xx,xx,xx,,NHAVA SHEVA,NHAVA SHEVA,,Bridgestone India Private Limited,,"D/M : 14 DAYS, D/T : 14 DAYS",Bridgestone India Private Limited,,Bridgestone India Private Limited,,,,*Full set of Surrendered MASTER B/L(NOT FORWARDER BL),,,,UBEPOL BR150L,2.1,MTS,TC 50,,,,UBE Elastomer Co. Ltd.
,,,,THAI SYNTHETIC RUBBERS,SYNTHETIC RUBBUR DIV.,,,,,,,,,,,,AND RESISTRATION NO.,,,,,,,,,,,"PLOT NO. A-43, PHASE-II, MIDC CHAKAN",,,"PLOT NO. A-43, PHASE-II, MIDC CHAKAN",,"PLOT NO. A-43, PHASE-II, MIDC CHAKAN",,,,,,,,,,,POLY BUTADIENE ,,,SHIPPING MARK,
,,,,"CO., LTD.",UBE ELASTOMER CO.LTD.,,,,,,,,,,,,,,,,,,,,,,,"VILLAGE SAWARDARI, TALUKA KHED, DIST. PUNE,",,,"VILLAGE SAWARDARI, TALUKA KHED, DIST. PUNE,",,"VILLAGE SAWARDARI, TALUKA KHED, DIST. PUNE,",,,,,,,,,,,RUBBER  UBEPOL BR150L,,,BRIDGESTONE INDIA PRIVATE LIMITED,
,,,,FAX:66-2-685-3056,TEL:81-3-5419-6167,,,,,,,,,,,,,,,,,,,,,,,"MAHARASHTRA - 410 501, INDIA",,,"MAHARASHTRA - 410 501, INDIA",,"MAHARASHTRA - 410 501, INDIA",,,,,,,,,,,,,,TRADE NAME:UBEPOL BR150L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEL: +91.2135.672.000,,,"TEL         : +91 2135 672166,+91 2135672000",,    Attn: Prashant Verma ,,,,,,,,,,,,,,TC50/BSID/4500077118,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTN:,,,ATTN:Ms. Neha Latare/Mr. Sagar Gujarathi/Mr.Sandeep Gallani,, (prashant-verma@bridgestone.co.in),,,,"IMPORTANT!! ? *PLS MARK ""FREE TIME: 14 DAYS FREE DETENTION AT NHAVA SHEVA.",*Please send all original docs. to BS INDIA direclty except CIF COMMERCIAL IV (between UBE and TSL) by courier.,,,,,,,,,INVOICE NO./4500077118,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(prashant-verma@bridgestone.co.in),,,,,    Tel: +91.2135.672.174,,,,*HS CODE:,"(FOR COURIER ADDRESS, PLEASE REFER AS FOLLOWS(SI/ PAGE 2)",,,,,,,,,MANUFACTURE'S NAME,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEC NO. 0396013341,,,,,PAN Number (Permanent Account Number) of ,,,,*PAN Number (Permanent Account Number) of notify party address.:-  “AABCB2304E ” ON BL,*Please send ALL docs. PDF copies by E-mail to UBE Tokyo(Matsumoto) /NO need original courier to us.,,,,,,,,,"  THAI SYNTHETIC RUBBERS CO., LTD.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSTIN Number 27AABCB2304E1ZD,,,,,notify party address.:-  “AABCB2304E ” ,,,,* 2 original of Certificate of Origin Form-AI with TSL FOB customs Invoice.,,,,,,,,,,LOT.NO:,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW!!?*Please issue 1 ORIGINAL FORM I (section III) with Manufacturing process outline ,,,,,,,,,,GROSS WT.  ---Please advise,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whenever there is change in Manufacturing process, please inform us along with necessary documents.",,,,,,,,,,"NET WT. 2,100",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* 3 original of Certificate of Analysis marked BS material code (TC 50)and PO number,,,,,,,,,,MADE IN THAILAND,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  issued by manufacturer,,,,,,,,,,,
